lokalita;lat;long;spec
34 – Postoloprty (5648a).   Triticum aestivum. ;50D22M26.05S;13D42M59.19S;antennatus
35 – Bøezno (5648a).   Hordeum vulgare. ;50D21M27.47S;13D44M41.13S;antennatus
28 – Hoøešovice II. (5749b).   Triticum aestivum. ;50D15M43.056S;013D57M20.988S;antennatus
29 – Hoøešovice III. (5749b).   Beta vulgaris var. rapacea. ;50D16M05.484S;013D56M56.580S;antennatus
30 – Klobuky (5749b).   Medicago sativa.;50D17M28.752S;013D58M08.724S;antennatus
38 – Veltìže (5649c).   Hordeum vulgare. ;50D20M54.16S;13D52M45.63S;antennatus
42 – Køesín (5650a).   Triticum aestivum.;50D23M49.51S;14D0M19.94S;antennatus
43 – Rebešovice (6865d).   Triticum aestivum. ;49D6M3.309S;16D39M5.433S;antennatus
50 – Cvrèovice (6965c).   Zea mays. ;49D0M9.305S;16D30M20.279S;antennatus
46 – Vojkovice (6965b).   Triticum aestivum. ;49D3M48.377S;16D35M2.289S;german
48 – Kupaøovice (6965c).   Hordeum vulgare. ;49D2M15.633S;16D30M7.352S;german
58 – Uherèice (7065b).   Zea mays. ;48D57M38.568S;16D38M48.09S;german
71 – Tøeština (6267b).   Zea mays. ;49D47M57.99S;16D58M31.31S;german
27 – Hoøešovice I. (5749b).   Triticum aestivum. ;50D15M41.400S;013D56M53.196S;german
36 – Louny I. (5648b).   Triticum aestivum. ;50D21M3.42S;13D46M33.91S;german
39 – Poèedìlice (5649a).   Hordeum vulgare. ;50D22M29.56S;13D53M25.33S;german
40 – Slavìtín (5649a).   Hordeum vulgare. ;50D21M46S;13D54M50.15S;german
41 – Stradonice (5649b).   Hordeum vulgare. ;50D23M3.25S;13D58M10.69S;german
44 – Modøice (6865d).   Heliantus annus. ;49D7M5.7S;16D37M30.601S;german
47 – Medlov (6965c).   Carthamus tinctorius. ;49D2M16.205S;16D32M11.277S;german
49 – Odrovice (6965c).   Brassica napus. ;49D1M1.315S;16D31M12.008S;german
51 – Pohoøelice (7064a).   Zea mays. ;48D59M38.058S;16D32M0.136S;german
52 – Pøibice (7065a).   Hordeum vulgare. ;48D59M10.534S;16D34M35.124S;german
53 – Vranovice (7065b).   Zea mays. ;48D59M1.514S;16D36M50.803S;german
56 – Velké Nìmèice I. (7065b).   Triticum aestivum. ;48D59M12.34S;16D38M58.002S;german
59 – Ladná I. (7167c).   Heliantus annus. ;48D48M35.362S;16D51M56.754S;german
28 – Hoøešovice II. (5749b).   Triticum aestivum. ;50D15M43.056S;013D57M20.988S;german
29 – Hoøešovice III. (5749b).   Beta vulgaris var. rapacea. ;50D16M05.484S;013D56M56.580S;german
30 – Klobuky (5749b).   Medicago sativa.;50D17M28.752S;013D58M08.724S;german
38 – Veltìže (5649c).   Hordeum vulgare. ;50D20M54.16S;13D52M45.63S;german
42 – Køesín (5650a).   Triticum aestivum.;50D23M49.51S;14D0M19.94S;german
43 – Rebešovice (6865d).   Triticum aestivum. ;49D6M3.309S;16D39M5.433S;german
50 – Cvrèovice (6965c).   Zea mays. ;49D0M9.305S;16D30M20.279S;german
1 – Církvice (6058c). . . Zea mays. ;49D56M48.183S;15D20M47.287S;sepult
2 – Kalabousek (6058c). . . Hordeum vulgare. ;49D55M39S;15D23M6.542S;sepult
5 – Horní Buèice (6058d).   Hordeum vulgare. ;49D56M8.593S;15D26M58.012S;sepult
9 – Èervený domek (6057b).   Brassica oleracea convar. capitata var. alba. ;49D59M12.954S;15D19M26.96S;sepult
